DateTime,AddedIPs,RemovedIPs
1556113454,1,0
1556119249,0,1
1556130769,0,1
1556138434,1,0
1556152117,1,0
1556154146,0,1
1556177056,1,0
1556178973,0,1
1556183798,0,1
1556185726,0,1
1556189532,0,1
1556193381,0,1
1556201080,0,1
1556215385,2,0
1556225566,0,1
1556238013,0,1
1556241858,1,0
1556263467,0,1
1556269321,1,0
1556276896,1,0
1556300204,0,1
1556305941,1,0
1556319736,1,0
1556321542,1,0
1556323496,1,0
1556327294,0,1
1556329222,1,0
1556336898,1,0
1556346524,1,0
1556352287,0,1
1556354171,1,0
1556356094,0,1
1556363778,0,1
1556377303,2,0
1556379155,1,0
1556392594,0,1
1556396411,1,0
1556400265,1,0
1556406098,0,1
1556407960,0,1
1556409869,0,1
1556411783,1,0
1556415635,1,1
1556423302,0,1
1556427136,1,0
1556432918,1,1
1556446342,0,1
1556463881,0,2
1556465806,0,1
1556485277,0,2
1556492916,1,0
1556496755,0,1
1556502502,0,1
1556512101,0,1
1556517885,0,1
1556548835,1,0
1556578652,0,1
1556584353,1,0
1556603775,1,0
1556619378,1,0
1556621305,1,0
1556630892,1,0
1556634791,0,1
1556638582,1,0
1556656814,1,0
1556658791,1,0
1556670263,0,1
1556691641,0,1
1556705328,0,1
1556709148,0,1
1556711079,1,0
1556716841,0,1
1556724495,1,0
1556726517,0,1
1556734127,1,0
1556739858,3,0
1556743699,0,1
1556745638,0,1
1556789333,1,0
1556796917,0,1
1556812340,0,1
1556820278,0,1
1556826019,0,2
1556827932,1,1
1556835669,1,0
1556841389,3,0
1556854819,1,0
1556864440,1,0
1556874108,1,0
1556875958,0,1
1556890580,1,0
1556910075,1,0
1556915773,0,1
1556917720,1,0
1556921537,1,1
1556927299,0,1
1556929225,0,1
1556931155,1,0
1556936917,1,0
1556940785,0,1
1556946531,2,0
1556950342,0,2
1556961867,0,1
1556975558,1,1
1556979389,1,0
1556996671,0,1
1557002431,1,0
1557004350,0,1
1557006252,1,0
1557008202,0,1
1557017782,0,1
1557022576,1,1
1557024508,1,0
1557032175,0,2
1557036093,1,0
1557049945,1,0
1557053793,1,0
1557057685,1,0
1557061478,0,1
1557065259,1,1
1557084495,1,0
1557086499,1,0
1557088360,0,1
1557092193,0,1
1557109462,0,1
1557120021,1,0
1557121963,0,1
1557131557,1,0
1557133482,1,0
1557135380,1,1
1557137330,1,0
1557141163,0,1
1557143058,0,1
1557148843,1,0
1557150758,1,1
1557154582,1,0
1557164196,1,0
1557169937,0,1
1557171872,0,1
1557173779,1,0
1557175697,1,0
1557191561,0,1
1557205940,0,1
1557209788,2,0
1557211949,2,0
1557213871,1,0
1557217719,1,1
1557219691,0,1
1557223471,0,1
1557225393,0,1
1557229216,1,0
1557234977,0,1
1557236906,0,1
1557240739,0,1
1557244573,1,0
1557259946,0,1
1557261856,0,1
1557263775,1,0
1557273375,0,1
1557281064,1,0
1557284896,1,0
1557290653,1,0
1557296430,0,2
1557298347,0,2
1557300274,0,1
1557304094,0,1
1557310108,1,0
1557315873,0,1
1557329545,0,1
1557350678,0,1
1557371321,0,1
1557373237,1,0
1557377082,0,1
1557381151,1,0
1557394586,1,0
1557396552,1,1
1557400338,1,0
1557404201,1,0
1557406100,0,1
1557411862,1,0
1557419571,1,0
1557437064,1,0
1557444279,2,0
1557448113,1,0
1557458695,0,1
1557466382,0,1
1557472133,1,0
1557483640,0,1
1557485555,0,1
1557489411,0,1
1557495406,1,0
1557499243,3,1
1557507134,0,1
1557509064,1,0
1557510974,2,0
1557522524,1,0
1557524442,0,1
1557530190,0,1
1557532101,0,1
1557541694,0,1
1557558977,0,1
1557572661,1,0
1557576494,2,0
1557582255,0,1
1557586097,0,3
1557588013,1,0
1557596188,0,3
1557609876,0,1
1557617547,0,1
1557632912,1,0
1557638661,1,0
1557654503,1,0
1557660270,0,1
1557662179,0,1
1557664121,0,1
1557667954,1,0
1557673950,1,1
1557718583,0,1
1557724367,0,1
1557726257,1,0
1557739724,0,1
1557749303,1,0
1557755059,0,1
1557760835,0,1
1557772348,1,0
1557789614,1,0
1557807136,1,0
1557826834,1,0
1557834775,0,1
1557844337,1,0
1557848450,0,1
1557856345,1,0
1557860194,0,1
1557877730,0,1
1557893102,0,1
1557896937,1,0
1557900781,1,0
1557914197,0,1
1557929560,0,1
1557933406,1,0
1557941061,1,0
1557943007,0,1
1557975865,2,0
1557983548,0,1
1557987412,0,1
1558015017,1,0
1558019821,0,1
1558028658,0,1
1558059378,1,0
1558061308,0,1
1558063211,0,1
1558099937,0,1
1558113864,1,0
1558121538,1,0
1558145808,0,1
1558150101,1,0
1558183696,1,0
1558199089,0,1
1558204828,1,0
1558206737,0,1
1558228129,1,0
1558235786,0,1
1558261005,1,0
1558270602,0,1
1558291711,0,1
1558293624,1,0
1558307086,1,0
1558314998,0,1
1558341881,1,0
1558343802,1,0
1558347624,0,1
1558380274,0,1
1558389909,1,0
1558393730,0,1
1558397541,1,0
1558428283,0,1
1558430199,0,1
1558437878,1,0
1558439795,2,0
1558468880,1,0
1558476736,0,1
1558481770,1,0
1558483701,0,1
1558487534,1,0
1558495477,1,0
1558505135,1,0
1558522363,1,0
1558524280,0,1
1558526204,0,2
1558530100,1,0
1558537695,1,0
1558555935,0,1
1558567704,0,1
1558575398,0,1
1558581393,0,1
1558589057,2,0
1558591001,0,1
1558596790,1,0
1558600584,1,0
1558604440,1,0
1558608279,0,1
1558614045,1,0
1558617860,0,1
1558623913,0,1
1558632973,1,0
1558646906,2,0
1558648928,1,0
1558650755,3,0
1558652935,1,0
1558654862,1,0
1558670178,1,0
1558675959,0,2
1558677889,1,0
1558683615,0,1
1558687489,0,1
1558691302,0,1
1558699292,1,1
1558712664,1,0
1558718440,0,1
1558733783,1,2
1558735719,0,2
1558738191,0,3
1558740021,0,1
1558757302,0,1
1558764980,0,1
1558785653,0,1
1558799091,2,1
1558820652,0,1
1558849455,1,0
1558857159,1,0
1558886175,0,2
1558937827,1,1
1558943567,0,1
1558972222,1,0
1559001159,1,0
1559024201,0,1
1559031865,1,0
1559059302,0,1
1559087080,1,1
1559118259,0,1
1559143252,1,0
1559154996,1,0
1559157090,1,0
1559174464,0,1
1559203308,1,0
1559209008,1,0
1559241882,0,1
1559243785,0,1
1559247657,0,1
1559290345,0,1
1559292255,0,1
1559322298,1,0
1559335726,44,0
1559337643,39,0
1559339534,112,0
1559341464,98,0
1559343434,29,0
1559345303,53,0
1559347351,98,0
1559349175,52,0
1559351085,63,0
1559353050,129,0
1559354951,131,0
1559356838,112,0
1559358744,128,0
1559360656,134,0
1559362601,1,0
1559408919,0,1
1559424766,0,120
1559426929,0,127
1559428846,0,65
1559430750,0,28
1559432662,0,77
1559434580,0,66
1559436506,0,74
1559438434,0,92
1559440603,0,165
1559442509,0,123
1559444540,0,112
1559446355,0,126
1559475856,1,48
1559558669,1,0
1559562502,0,1
1559620364,1,0
1559633808,1,0
1559637641,1,0
1559645307,0,1
1559693326,1,0
1559706777,0,1
1559718257,1,0
1559720191,0,1
1559724039,0,1
1559778532,0,1
1559800831,1,0
1559804683,0,1
1559810411,1,0
1559820017,1,0
1559852662,1,0
1559872103,1,0
1559875938,1,0
1559879783,1,0
1559891308,1,0
1559897068,0,1
1559900898,2,0
1559902832,1,0
1559906677,0,1
1559928037,3,0
1559939541,0,1
1559951838,1,0
1559959544,0,1
1559963321,0,1
1559965213,0,1
1559977003,0,1
1559978895,1,0
1559986813,0,2
1559990658,0,1
1559998570,1,0
1560013943,2,3
1560021609,1,0
1560025461,0,1
1560039382,0,1
1560064337,0,1
1560085477,0,1
1560101298,1,2
1560107062,0,1
1560118832,1,0
1560120736,1,0
1560154817,1,0
1560156729,1,0
1560187697,0,1
1560204985,0,1
1560206891,0,1
1560241703,0,1
1560250844,1,1
1560268094,2,0
1560301718,2,0
1560318992,1,0
1560338180,0,1
1560353796,0,2
1560363630,1,0
1560367453,1,0
1560375139,1,0
1560388822,0,1
1560400355,2,0
1560404185,0,1
1560448905,0,1
1560452910,0,1
1560456767,1,0
1560460592,0,1
1560466350,1,0
1560485547,2,2
1560498985,0,1
1560516746,1,0
1560522505,1,0
1560532103,1,0
1560534273,1,0
1560540292,1,0
1560544098,0,1
1560553944,0,1
1560573154,0,2
1560620219,0,2
1560627867,1,0
1560657892,1,0
1560661702,1,0
1560673245,0,2
1560675174,0,1
1560691451,1,0
1560693375,1,0
1560700340,1,0
1560702253,1,0
1560706091,2,0
1560713769,0,1
1560727959,3,0
1560745236,0,1
1560749056,0,1
1560760576,1,0
1560774050,1,0
1560777885,0,1
1560779785,0,1
1560785563,0,1
1560789378,0,1
1560791312,0,1
1560793211,0,1
1560808577,1,0
1560814358,0,3
1560825854,1,0
1560831644,1,0
1560847214,0,1
1560858055,1,0
1560859942,1,1
1560871506,1,0
1560884922,2,0
1560894515,0,1
1560903162,1,0
1560910837,0,1
1560912751,1,0
1560918501,1,1
1560922341,1,0
1560926181,1,0
1560939640,2,0
