DateTime,AddedIPs,RemovedIPs
1556859400,0,2
1556861298,0,2
1556872839,3,0
1556894178,1,0
1556902106,0,1
1556909774,0,1
1556913688,1,0
1556929000,1,0
1556932849,0,1
1556934770,1,0
1556936662,0,1
1556952291,0,1
1556958050,0,2
1556963785,0,1
1556969789,2,0
1556973621,2,0
1556975566,1,0
1556977471,3,0
1556979397,1,2
1556981310,1,1
1556985177,0,1
1556990920,2,0
1556994770,1,0
1556996687,1,0
1557000527,0,1
1557015861,0,2
1557040816,1,0
1557056200,0,1
1557061948,0,1
1557063861,1,1
1557065801,0,1
1557077302,0,2
1557098442,1,0
1557104194,0,2
1557108162,0,2
1557109973,0,1
1557111900,0,1
1557114058,1,0
1557141884,0,1
1557149586,0,1
1557153750,0,1
1557155575,0,2
1557157487,0,1
1557170925,1,0
1557199009,1,0
1557206908,0,1
1557216539,1,0
1557224191,0,1
1557233941,1,0
1557255149,1,0
1557272673,0,1
1557274835,3,0
1557280576,1,0
1557285403,0,1
1557287305,0,1
1557302664,0,1
1557310365,0,1
1557316128,0,1
1557321852,0,1
1557323778,0,1
1557325642,1,0
1557341066,0,1
1557346837,1,0
1557355557,1,0
1557361328,2,1
1557367030,0,1
1557369177,1,0
1557373264,0,1
1557377103,1,0
1557381161,1,0
1557390982,1,0
1557406598,1,2
1557434212,0,1
1557439947,0,1
1557483162,1,0
1557493027,0,1
1557504741,2,0
1557508605,0,1
1557510531,1,0
1557514338,1,0
1557523976,0,1
1557525882,1,0
1557541706,0,1
1557557295,0,1
1557559217,0,1
1557568977,1,1
1557580355,0,1
1557586106,2,0
1557606042,1,0
1557609887,1,0
1557615778,2,0
1557621623,1,0
1557623802,1,0
1557633402,1,0
1557641078,0,1
1557645137,0,1
1557656918,1,0
1557666504,1,0
1557672258,0,2
1557682115,0,1
1557696057,0,1
1557702960,0,2
1557710673,0,1
1557733948,0,1
1557735878,1,0
1557747392,1,0
1557776417,1,0
1557778600,1,0
1557782453,1,0
1557788203,1,0
1557796129,1,0
1557807864,0,1
1557811733,1,0
1557817555,0,1
1557840993,1,1
1557847007,0,1
1557852798,1,0
1557864343,0,1
1557873896,1,1
1557883473,0,1
1557889390,1,0
1557895498,1,1
1557897413,0,1
1557901253,0,1
1557903161,0,1
1557905091,1,0
1557914753,0,3
1557922346,0,1
1557924260,1,0
1557928113,1,0
1557930056,2,0
1557933916,1,0
1557935778,1,0
1557951189,1,0
1557958844,2,0
1557968546,0,1
1557970392,1,0
1557981860,0,1
1557991700,0,1
1558003500,1,0
1558007337,0,1
1558015039,0,1
1558022978,0,2
1558028670,1,0
1558038270,1,1
1558044081,1,0
1558057464,1,0
1558059388,1,0
1558061319,1,0
1558065153,0,1
1558070912,1,0
1558086767,1,0
1558102138,0,1
1558113873,1,0
1558115782,0,1
1558119734,1,0
1558137914,0,1
1558143876,0,1
1558145818,0,1
1558166581,0,2
1558170513,0,1
1558174344,1,2
1558178178,0,1
1558187783,0,1
1558197890,1,0
1558203644,2,1
1558211299,0,1
1558217064,0,1
1558219006,0,1
1558222817,1,0
1558226691,1,0
1558234342,0,1
1558249718,0,1
1558251659,0,1
1558259310,0,1
1558268909,1,0
1558278777,0,1
1558284497,1,0
1558301773,2,0
1558336571,0,1
1558338492,1,1
1558354357,0,1
1558367789,1,0
1558369858,2,1
1558373791,0,1
1558377647,1,0
1558381473,1,0
1558383385,1,0
1558387237,1,0
1558391054,1,0
1558404745,1,0
1558422099,1,0
1558431635,0,1
1558435475,0,1
1558439301,0,1
1558446975,1,0
1558454741,1,1
1558470504,1,0
1558474377,1,0
1558476267,1,0
1558489720,0,1
1558493567,0,1
1558497415,0,1
1558512762,1,0
1558514701,0,1
1558522373,0,1
1558528108,0,1
1558530167,1,0
1558532202,2,0
1558534138,1,0
1558542348,0,1
1558550936,1,0
1558562448,1,0
1558579711,1,0
1558583545,0,1
1558591525,1,0
1558603216,1,0
1558605160,0,1
1558611401,1,0
1558617406,0,2
1558619303,0,1
1558621488,0,1
1558623384,1,0
1558627362,1,0
1558633224,0,1
1558637086,0,1
1558644742,0,1
1558649009,1,0
1558654873,1,0
1558668286,0,1
1558676188,1,0
1558691798,1,0
1558695739,0,1
1558697547,0,1
1558729480,2,0
1558738201,0,2
1558743889,0,1
1558753532,0,1
1558770771,0,1
1558776523,1,1
1558787612,0,1
1558807022,2,0
1558808921,0,1
1558810941,1,0
1558816839,0,2
1558824540,0,1
1558828370,0,1
1558838179,1,0
1558882955,0,1
1558890540,1,0
1558892423,1,0
1558923445,0,1
1558939016,0,1
1558940932,0,1
1558942828,0,1
1558949091,1,0
1558978021,0,1
1558988648,2,0
1558990520,1,0
1558996354,1,0
1559002111,1,0
1559017970,1,0
1559023703,0,1
1559029487,1,0
1559035243,1,1
1559043175,1,0
1559045074,1,0
1559052772,1,0
1559074389,1,0
1559080592,2,0
1559084569,0,1
1559086394,1,1
1559119248,0,1
1559121139,0,1
1559123074,0,1
1559124978,0,1
1559132676,1,0
1559144455,1,1
1559146345,0,1
1559154056,1,1
1559157867,0,1
1559167545,0,1
1559169391,1,0
1559183101,0,1
1559202257,0,1
1559213802,0,1
1559217652,1,0
1559219567,0,1
1559221473,2,0
1559238995,1,0
1559240899,1,0
1559246688,2,0
1559254360,0,2
1559256270,1,0
1559259682,1,0
1559273106,1,0
1559284591,1,1
1559286547,5,1
1559292265,1,0
1559294221,2,0
1559299970,3,0
1559301871,0,1
1559303800,0,2
1559307922,0,1
1559311988,1,0
1559313916,1,0
1559335734,1,0
1559339541,0,1
1559353056,0,1
1559358771,0,1
1559372553,2,1
1559374354,0,5
1559378186,0,1
1559380112,0,1
1559385874,0,1
1559391670,1,0
1559399308,0,2
1559401387,0,2
1559403421,1,0
1559405334,2,0
1559413022,1,0
1559430760,0,1
1559434591,0,1
1559440613,1,0
1559444561,0,1
1559457880,0,1
1559471326,1,0
1559477085,1,0
1559490509,0,1
1559492440,0,1
