DateTime,AddedIPs,RemovedIPs
1560519722,80,80
1560520922,80,80
1560522122,80,80
1560522722,80,80
1560523322,80,80
1560524522,80,80
1560525722,80,80
1560526922,80,80
1560528122,80,80
1560529322,80,80
1560529922,80,80
1560530523,80,80
1560531122,80,80
1560531723,80,80
1560532322,80,80
1560532922,80,80
1560533523,80,80
1560534123,80,80
1560535322,80,80
1560535922,80,80
1560536522,80,80
1560537722,80,80
1560538923,80,80
1560539522,80,80
1560540122,80,80
1560540723,80,80
1560541322,79,79
1560541922,80,80
1560542522,80,80
1560543122,80,80
1560543722,80,80
1560544923,80,80
1560545523,80,80
1560546122,80,80
1560546723,80,80
1560547322,80,80
1560548522,80,80
1560549723,80,80
1560552122,80,80
1560553322,80,80
1560554522,80,80
1560555122,80,80
1560555722,80,80
1560556322,80,80
1560556923,80,80
1560557523,80,80
1560558123,80,80
1560559322,80,80
1560560523,80,80
1560561122,80,80
1560561722,80,80
1560562923,80,80
1560563522,80,80
1560564122,80,80
1560565324,80,80
1560565922,80,80
1560566522,80,80
1560567723,80,80
1560568322,80,80
1560568923,80,80
1560570123,80,80
1560571322,80,80
1560571923,80,80
1560572523,80,80
1560573722,80,80
1560574322,80,80
1560574922,80,80
1560575522,80,80
1560576122,80,80
1560577323,80,80
1560578523,80,80
1560579123,80,80
1560579722,80,80
1560580323,80,80
1560580922,80,80
1560582122,80,80
1560582722,80,80
1560583322,80,80
1560583922,80,80
1560584522,80,80
1560585122,80,80
1560585722,80,80
1560586322,80,80
1560586923,80,80
1560587522,80,80
1560588122,80,80
1560588722,78,78
1560589322,80,80
1560589922,80,80
1560590523,80,80
1560591122,80,80
1560591722,80,80
1560592922,80,80
1560593522,80,80
1560594122,80,80
1560594722,79,79
1560595322,80,80
1560596522,80,80
1560597123,80,80
1560597722,80,80
1560598323,80,80
1560598923,80,80
1560599523,80,80
1560600122,80,80
1560600723,80,80
1560601322,80,80
1560602523,80,80
1560603723,80,80
1560604923,80,80
1560606123,80,80
1560607322,79,79
1560607924,80,80
1560608523,80,80
1560609122,80,80
1560609722,80,80
1560610323,80,80
1560610923,80,80
1560612122,80,80
1560613322,80,80
1560613923,79,79
1560614522,80,80
1560615723,80,80
1560616923,80,80
1560617523,80,80
1560618123,80,80
1560618723,80,80
1560619323,80,80
1560619922,80,80
1560620522,80,80
1560621722,80,80
1560622322,80,80
1560622923,80,80
1560624123,80,80
1560624722,80,80
1560625323,80,80
1560626523,80,80
1560627122,80,80
1560627722,80,80
1560628323,80,80
1560628923,80,80
1560629523,80,80
1560630123,80,80
1560630722,80,80
1560631323,80,80
1560631922,80,80
1560632522,80,80
1560633723,80,80
1560634922,78,78
1560636122,80,80
1560637322,80,80
1560637922,80,80
1560638522,80,80
1560639723,80,80
1560640922,80,80
1560641522,80,80
1560642122,80,80
1560643324,80,80
1560644523,80,80
1560645122,80,80
1560645722,80,80
1560646323,80,80
1560646923,80,80
1560647523,80,80
1560648122,80,80
1560648722,80,80
1560649323,80,80
1560650522,80,80
1560651722,80,80
1560652922,80,80
1560654122,80,80
1560655322,80,80
1560655922,80,80
1560656523,80,80
1560657722,80,80
1560658923,80,80
1560660122,80,80
1560661322,80,80
1560662522,80,80
1560663122,80,80
1560663722,80,80
1560664322,80,80
1560664922,80,80
1560666123,80,80
1560667323,80,80
1560668523,80,80
1560669723,80,80
1560670322,80,80
1560670922,80,80
1560672122,80,80
1560673323,80,80
1560674522,80,80
1560675122,80,80
1560675723,80,80
1560676923,80,80
1560678122,80,80
1560679322,80,80
1560679923,80,80
1560680522,80,80
1560681722,80,80
1560682922,80,80
1560683522,80,80
1560684122,80,80
1560685323,80,80
1560685922,80,80
1560686522,80,80
1560687123,80,80
1560687723,80,80
1560688922,80,80
1560689522,80,80
1560690122,80,80
1560691322,80,80
1560692522,79,79
1560693122,80,80
1560693723,80,80
1560694322,77,77
1560694922,80,80
1560696122,80,80
1560697324,80,80
1560697923,80,80
1560698522,80,80
1560699722,80,80
1560700322,79,79
1560700922,80,80
1560701523,80,80
1560702122,80,80
1560703322,80,80
1560704522,80,80
1560705122,80,80
1560705723,80,80
1560706922,80,80
1560708122,78,78
1560709322,80,80
1560710522,80,80
1560711122,80,80
1560711722,80,80
1560712922,80,80
1560713524,80,80
1560714122,80,80
1560715323,80,80
1560716522,80,80
1560717722,80,80
1560718323,80,80
1560718922,80,80
1560719523,80,80
1560720122,80,80
1560721322,80,80
1560721923,79,79
1560722522,80,80
1560723722,79,79
1560726122,80,80
1560726723,80,80
1560727322,80,80
1560728522,80,80
1560729724,80,80
1560730324,80,80
1560730922,80,80
1560732123,80,80
1560733322,80,80
1560734522,75,75
1560735122,80,80
1560735723,80,80
1560736922,80,80
1560738123,80,80
1560738722,80,80
1560739322,80,80
1560740524,80,80
1560741722,80,80
1560742322,80,80
1560742922,80,80
1560744122,80,80
1560745322,79,79
1560745923,80,80
1560746522,80,80
1560747722,80,80
1560748922,80,80
1560750123,80,80
1560750723,80,80
1560751323,80,80
1560752523,80,80
1560753722,80,80
1560754922,80,80
1560756123,80,80
1560757322,80,80
1560757923,80,80
1560758522,80,80
1560759122,80,80
1560759722,80,80
1560760923,80,80
1560762122,80,80
1560763322,80,80
1560764522,80,80
1560765123,80,80
1560765723,79,79
1560766923,80,80
1560768122,80,80
1560769322,80,80
1560770522,80,80
1560771722,80,80
1560772322,80,80
1560772922,80,80
1560774123,80,80
1560774723,80,80
1560775322,80,80
1560776523,80,80
1560777122,80,80
1560777722,80,80
1560778322,80,80
1560778923,80,80
1560779522,80,80
1560780123,80,80
1560780723,80,80
1560781323,80,80
1560782523,79,79
1560783122,80,80
1560783723,80,80
1560784322,80,80
1560784922,80,80
1560786122,80,80
1560787322,80,80
1560788523,80,80
1560789722,80,80
1560790923,80,80
1560792123,80,80
1560793323,80,80
1560794523,80,80
1560795723,78,78
1560796922,80,80
1560798122,80,80
1560798723,80,80
1560799323,80,80
1560800522,80,80
1560801723,80,80
1560802322,80,80
1560802922,80,80
1560803522,80,80
1560804122,80,80
1560805322,80,80
1560806522,80,80
1560807122,80,80
1560807723,80,80
1560808323,80,80
1560808923,80,80
1560810122,80,80
1560811322,80,80
1560812522,79,79
1560813723,80,80
1560814922,80,80
1560816123,80,80
1560816722,80,80
1560817323,80,80
1560818523,80,80
1560819723,80,80
1560820923,80,80
1560822122,80,80
1560823322,80,80
1560823923,80,80
1560824522,80,80
1560825722,80,80
1560826922,80,80
1560828122,80,80
1560829322,80,80
1560829922,80,80
1560830522,79,79
1560831122,80,80
1560831722,80,80
1560832322,80,80
1560832923,80,80
1560833522,79,79
1560834122,80,80
1560834722,79,79
1560835322,80,80
1560835922,80,80
1560836523,80,80
1560837122,80,80
1560837722,80,80
1560838323,80,80
1560838922,80,80
1560840122,80,80
1560841322,80,80
1560842522,80,80
1560843722,80,80
1560844922,80,80
1560846123,80,80
1560847322,80,80
1560848522,78,78
1560849722,80,80
1560850323,80,80
1560850922,80,80
1560852122,80,80
1560853324,80,80
1560853922,80,80
1560854522,80,80
1560855122,80,80
1560855723,80,80
1560858122,80,80
1560859323,80,80
1560860522,80,80
1560861723,80,80
1560862922,76,76
1560863522,80,80
1560864122,80,80
1560865322,80,80
1560865922,80,80
1560866522,80,80
1560867123,80,80
1560867723,80,80
1560868922,79,79
1560869522,80,80
1560870123,80,80
1560871322,80,80
1560872523,80,80
1560873122,80,80
1560873722,80,80
1560874323,80,80
1560874922,80,80
1560875522,80,80
1560876123,80,80
1560877322,80,80
1560877922,80,80
1560878523,80,80
1560879122,80,80
1560879722,80,80
1560880322,80,80
1560880923,80,80
1560881523,80,80
1560882122,80,80
1560882722,78,78
1560883322,80,80
1560883922,80,80
1560884522,80,80
