DateTime,AddedIPs,RemovedIPs
1556708920,0,1
1556712495,0,1
1556719719,2,0
1556726921,1,1
1556734119,1,2
1556737704,1,0
1556741310,1,1
1556744930,1,1
1556748499,1,1
1556752107,0,1
1556755730,1,1
1556759310,14,1
1556766524,0,1
1556770120,0,10
1556845722,13,0
1556856519,0,13
1556932106,16,0
1556935719,1,0
1556942898,0,19
1556960915,0,1
1556964517,1,0
1556975319,1,0
1556989706,0,1
1557000518,0,1
1557019065,9,0
1557029301,0,14
1557061720,0,1
1557065305,1,0
1557079700,0,1
1557083312,1,0
1557097719,1,0
1557104886,31,0
1557108488,2,0
1557115710,0,9
1557122900,0,1
1557130098,1,1
1557162518,0,1
1557191297,19,0
1557194910,0,1
1557202099,0,15
1557234488,0,1
1557238105,2,0
1557252507,0,1
1557266900,0,1
1557277701,9,0
1557288509,0,13
1557335324,2,0
1557342511,0,1
1557353321,1,0
1557364429,17,0
1557371366,1,1
1557374914,1,32
1557382105,1,1
1557385714,0,1
1557392914,0,1
1557410910,1,0
1557425317,0,1
1557450538,14,0
1557454116,1,1
1557461324,0,18
1557464936,0,1
1557479311,1,0
1557490129,0,1
1557493852,1,0
1557536934,11,0
1557540530,1,0
1557547727,0,12
1557554918,1,0
1557569321,0,1
1557576522,0,1
1557580121,1,0
1557583723,1,0
1557590925,0,1
1557594522,1,0
1557623311,15,0
1557626930,0,1
1557634116,0,17
1557641328,0,1
1557659308,1,0
1557666519,0,1
1557670132,1,0
1557673721,0,1
1557691736,1,0
1557695316,0,1
1557702520,1,0
1557706125,0,1
1557709859,16,0
1557716915,0,2
1557720525,0,12
1557796101,15,0
1557799698,1,0
1557803300,1,0
1557806916,0,11
1557810491,1,1
1557814109,1,0
1557817720,1,1
1557821303,1,1
1557828485,1,1
1557839304,0,1
1557842898,0,1
1557846508,1,0
1557850100,1,0
1557853692,0,1
1557857289,0,1
1557868095,1,0
1557875301,0,1
1557878916,1,0
1557882478,16,0
1557889699,0,1
1557893287,1,17
1557896907,1,0
1557900512,1,0
1557907718,2,1
1557911298,0,1
1557914903,1,1
1557918521,1,0
1557922124,0,1
1557929312,0,1
1557936520,2,0
1557940121,1,0
1557943711,1,1
1557947306,0,1
1557950904,0,1
1557958112,1,1
1557965299,1,0
1557968924,20,0
1557972510,1,0
1557976117,2,1
1557979709,0,13
1557983312,1,1
1557986892,2,2
1557990517,2,1
1557994102,1,2
1557997718,1,3
1558001291,1,0
1558004899,2,1
1558012101,2,2
1558015702,0,1
1558019300,2,1
1558022916,0,1
1558026507,1,2
1558030089,2,1
1558037335,1,1
1558040898,2,0
1558044494,1,2
1558048097,1,2
1558051700,1,1
1558055364,6,3
1558059071,1,1
1558062876,0,1
1558066111,2,13
1558069709,1,0
1558073312,1,1
1558076917,0,1
1558084099,1,1
1558087702,1,0
1558091319,0,1
1558094899,1,1
1558098501,1,1
1558105704,1,1
1558109302,1,1
1558116506,1,1
1558120097,1,1
1558127319,1,1
